juego,sorteo,fecha,n1,n2,n3,n4,n5,superbalota,page,detail_url
REVANCHA,2589,8 de Diciembre de 2025,2,7,30,33,42,4,8,https://www.baloto.com/resultados-revancha/2589
BALOTO,2588,6 de Diciembre de 2025,12,32,36,42,43,13,8,https://www.baloto.com/resultados-baloto/2588
REVANCHA,2588,6 de Diciembre de 2025,13,18,27,29,35,8,8,https://www.baloto.com/resultados-revancha/2588
BALOTO,2587,3 de Diciembre de 2025,11,15,16,19,40,9,9,https://www.baloto.com/resultados-baloto/2587
REVANCHA,2587,3 de Diciembre de 2025,7,16,30,37,39,2,9,https://www.baloto.com/resultados-revancha/2587
BALOTO,2586,1 de Diciembre de 2025,11,24,25,26,43,7,9,https://www.baloto.com/resultados-baloto/2586
REVANCHA,2586,1 de Diciembre de 2025,7,26,30,37,39,3,9,https://www.baloto.com/resultados-revancha/2586
BALOTO,2585,29 de Noviembre de 2025,4,17,28,32,43,6,9,https://www.baloto.com/resultados-baloto/2585
REVANCHA,2585,29 de Noviembre de 2025,4,17,28,33,43,3,9,https://www.baloto.com/resultados-revancha/2585
BALOTO,2584,26 de Noviembre de 2025,4,14,25,28,41,13,9,https://www.baloto.com/resultados-baloto/2584
REVANCHA,2584,26 de Noviembre de 2025,8,13,33,35,40,8,9,https://www.baloto.com/resultados-revancha/2584
BALOTO,2583,24 de Noviembre de 2025,8,9,10,30,37,2,9,https://www.baloto.com/resultados-baloto/2583
REVANCHA,2583,24 de Noviembre de 2025,3,9,23,28,37,14,9,https://www.baloto.com/resultados-revancha/2583
BALOTO,2582,22 de Noviembre de 2025,16,22,25,32,38,9,10,https://www.baloto.com/resultados-baloto/2582
REVANCHA,2582,22 de Noviembre de 2025,4,8,20,21,43,16,10,https://www.baloto.com/resultados-revancha/2582
BALOTO,2581,19 de Noviembre de 2025,2,6,26,28,39,11,10,https://www.baloto.com/resultados-baloto/2581
REVANCHA,2581,19 de Noviembre de 2025,12,24,32,36,41,15,10,https://www.baloto.com/resultados-revancha/2581
BALOTO,2580,17 de Noviembre de 2025,14,18,20,35,41,10,10,https://www.baloto.com/resultados-baloto/2580
REVANCHA,2580,17 de Noviembre de 2025,3,18,28,32,37,11,10,https://www.baloto.com/resultados-revancha/2580
BALOTO,2579,15 de Noviembre de 2025,4,8,10,17,41,6,10,https://www.baloto.com/resultados-baloto/2579
REVANCHA,2579,15 de Noviembre de 2025,7,9,16,24,39,7,10,https://www.baloto.com/resultados-revancha/2579
BALOTO,2578,12 de Noviembre de 2025,1,18,21,22,24,14,10,https://www.baloto.com/resultados-baloto/2578
REVANCHA,2578,12 de Noviembre de 2025,14,20,39,40,41,10,10,https://www.baloto.com/resultados-revancha/2578
BALOTO,2577,10 de Noviembre de 2025,17,22,24,26,27,13,11,https://www.baloto.com/resultados-baloto/2577
REVANCHA,2577,10 de Noviembre de 2025,10,12,17,30,34,8,11,https://www.baloto.com/resultados-revancha/2577
BALOTO,2576,8 de Noviembre de 2025,1,6,18,21,24,12,11,https://www.baloto.com/resultados-baloto/2576
REVANCHA,2576,8 de Noviembre de 2025,14,23,33,38,40,6,11,https://www.baloto.com/resultados-revancha/2576
BALOTO,2575,5 de Noviembre de 2025,9,14,29,35,40,3,11,https://www.baloto.com/resultados-baloto/2575
REVANCHA,2575,5 de Noviembre de 2025,14,16,26,39,43,14,11,https://www.baloto.com/resultados-revancha/2575
BALOTO,2574,3 de Noviembre de 2025,5,9,26,28,32,3,11,https://www.baloto.com/resultados-baloto/2574
REVANCHA,2574,3 de Noviembre de 2025,5,12,18,27,31,3,11,https://www.baloto.com/resultados-revancha/2574
BALOTO,2573,1 de Noviembre de 2025,1,21,24,25,43,14,11,https://www.baloto.com/resultados-baloto/2573
REVANCHA,2573,1 de Noviembre de 2025,5,24,27,37,41,6,11,https://www.baloto.com/resultados-revancha/2573
BALOTO,2572,29 de Octubre de 2025,2,14,22,25,29,13,12,https://www.baloto.com/resultados-baloto/2572
REVANCHA,2572,29 de Octubre de 2025,7,9,13,21,42,3,12,https://www.baloto.com/resultados-revancha/2572
BALOTO,2571,27 de Octubre de 2025,3,9,32,35,36,10,12,https://www.baloto.com/resultados-baloto/2571
REVANCHA,2571,27 de Octubre de 2025,5,18,22,24,31,7,12,https://www.baloto.com/resultados-revancha/2571
BALOTO,2570,25 de Octubre de 2025,17,18,21,32,37,14,12,https://www.baloto.com/resultados-baloto/2570
REVANCHA,2570,25 de Octubre de 2025,1,14,36,37,39,13,12,https://www.baloto.com/resultados-revancha/2570
BALOTO,2569,22 de Octubre de 2025,3,5,14,19,26,6,12,https://www.baloto.com/resultados-baloto/2569
REVANCHA,2569,22 de Octubre de 2025,1,21,23,30,42,16,12,https://www.baloto.com/resultados-revancha/2569
BALOTO,2568,20 de Octubre de 2025,9,11,15,23,29,4,12,https://www.baloto.com/resultados-baloto/2568
REVANCHA,2568,20 de Octubre de 2025,6,8,12,19,36,16,12,https://www.baloto.com/resultados-revancha/2568
BALOTO,2567,18 de Octubre de 2025,27,31,33,34,41,5,13,https://www.baloto.com/resultados-baloto/2567
REVANCHA,2567,18 de Octubre de 2025,6,14,26,40,41,7,13,https://www.baloto.com/resultados-revancha/2567
BALOTO,2566,15 de Octubre de 2025,2,21,25,37,43,9,13,https://www.baloto.com/resultados-baloto/2566
REVANCHA,2566,15 de Octubre de 2025,4,18,37,38,40,15,13,https://www.baloto.com/resultados-revancha/2566
BALOTO,2565,13 de Octubre de 2025,11,17,18,20,34,7,13,https://www.baloto.com/resultados-baloto/2565
REVANCHA,2565,13 de Octubre de 2025,9,21,27,29,41,13,13,https://www.baloto.com/resultados-revancha/2565
BALOTO,2564,11 de Octubre de 2025,10,13,14,28,38,12,13,https://www.baloto.com/resultados-baloto/2564
REVANCHA,2564,11 de Octubre de 2025,1,6,15,25,38,14,13,https://www.baloto.com/resultados-revancha/2564
BALOTO,2563,8 de Octubre de 2025,3,10,30,32,38,8,13,https://www.baloto.com/resultados-baloto/2563
REVANCHA,2563,8 de Octubre de 2025,5,6,25,26,32,14,13,https://www.baloto.com/resultados-revancha/2563
BALOTO,2562,6 de Octubre de 2025,2,7,14,27,29,10,14,https://www.baloto.com/resultados-baloto/2562
REVANCHA,2562,6 de Octubre de 2025,5,18,23,34,40,14,14,https://www.baloto.com/resultados-revancha/2562
BALOTO,2561,4 de Octubre de 2025,2,13,25,35,42,10,14,https://www.baloto.com/resultados-baloto/2561
REVANCHA,2561,4 de Octubre de 2025,20,23,30,39,43,3,14,https://www.baloto.com/resultados-revancha/2561
BALOTO,2560,1 de Octubre de 2025,2,26,32,35,39,11,14,https://www.baloto.com/resultados-baloto/2560
REVANCHA,2560,1 de Octubre de 2025,11,15,20,25,41,7,14,https://www.baloto.com/resultados-revancha/2560
BALOTO,2559,29 de Septiembre de 2025,3,11,24,34,35,10,14,https://www.baloto.com/resultados-baloto/2559
REVANCHA,2559,29 de Septiembre de 2025,1,13,25,30,31,6,14,https://www.baloto.com/resultados-revancha/2559
BALOTO,2558,27 de Septiembre de 2025,6,13,19,32,38,4,14,https://www.baloto.com/resultados-baloto/2558
REVANCHA,2558,27 de Septiembre de 2025,14,17,19,28,33,2,14,https://www.baloto.com/resultados-revancha/2558
BALOTO,2557,24 de Septiembre de 2025,2,7,10,29,34,4,15,https://www.baloto.com/resultados-baloto/2557
REVANCHA,2557,24 de Septiembre de 2025,2,3,9,21,35,12,15,https://www.baloto.com/resultados-revancha/2557
BALOTO,2556,22 de Septiembre de 2025,6,18,22,23,35,15,15,https://www.baloto.com/resultados-baloto/2556
REVANCHA,2556,22 de Septiembre de 2025,5,6,12,14,35,12,15,https://www.baloto.com/resultados-revancha/2556
BALOTO,2555,20 de Septiembre de 2025,8,11,16,30,40,6,15,https://www.baloto.com/resultados-baloto/2555
REVANCHA,2555,20 de Septiembre de 2025,12,24,29,39,42,8,15,https://www.baloto.com/resultados-revancha/2555
BALOTO,2554,17 de Septiembre de 2025,7,9,10,37,39,4,15,https://www.baloto.com/resultados-baloto/2554
REVANCHA,2554,17 de Septiembre de 2025,5,7,11,15,23,3,15,https://www.baloto.com/resultados-revancha/2554
BALOTO,2553,15 de Septiembre de 2025,6,10,11,12,19,7,15,https://www.baloto.com/resultados-baloto/2553
REVANCHA,2553,15 de Septiembre de 2025,3,5,13,21,31,16,15,https://www.baloto.com/resultados-revancha/2553
BALOTO,2552,13 de Septiembre de 2025,1,6,12,25,40,9,16,https://www.baloto.com/resultados-baloto/2552
REVANCHA,2552,13 de Septiembre de 2025,6,13,14,28,34,13,16,https://www.baloto.com/resultados-revancha/2552
BALOTO,2551,10 de Septiembre de 2025,6,28,40,42,43,12,16,https://www.baloto.com/resultados-baloto/2551
REVANCHA,2551,10 de Septiembre de 2025,5,8,16,27,35,5,16,https://www.baloto.com/resultados-revancha/2551
BALOTO,2550,8 de Septiembre de 2025,10,13,20,31,42,12,16,https://www.baloto.com/resultados-baloto/2550
REVANCHA,2550,8 de Septiembre de 2025,4,18,27,34,39,9,16,https://www.baloto.com/resultados-revancha/2550
BALOTO,2549,6 de Septiembre de 2025,4,8,16,28,40,10,16,https://www.baloto.com/resultados-baloto/2549
REVANCHA,2549,6 de Septiembre de 2025,2,15,22,29,42,8,16,https://www.baloto.com/resultados-revancha/2549
BALOTO,2548,3 de Septiembre de 2025,16,20,26,29,31,12,16,https://www.baloto.com/resultados-baloto/2548
REVANCHA,2548,3 de Septiembre de 2025,5,19,21,42,43,14,16,https://www.baloto.com/resultados-revancha/2548
BALOTO,2547,1 de Septiembre de 2025,1,13,25,33,34,12,17,https://www.baloto.com/resultados-baloto/2547
REVANCHA,2547,1 de Septiembre de 2025,9,30,32,39,43,13,17,https://www.baloto.com/resultados-revancha/2547
BALOTO,2546,30 de Agosto de 2025,3,4,12,23,42,13,17,https://www.baloto.com/resultados-baloto/2546
REVANCHA,2546,30 de Agosto de 2025,12,18,22,26,33,6,17,https://www.baloto.com/resultados-revancha/2546
BALOTO,2545,27 de Agosto de 2025,6,8,20,23,24,9,17,https://www.baloto.com/resultados-baloto/2545
REVANCHA,2545,27 de Agosto de 2025,1,6,14,33,43,6,17,https://www.baloto.com/resultados-revancha/2545
BALOTO,2544,25 de Agosto de 2025,6,21,22,26,30,8,17,https://www.baloto.com/resultados-baloto/2544
REVANCHA,2544,25 de Agosto de 2025,8,12,14,32,35,9,17,https://www.baloto.com/resultados-revancha/2544
BALOTO,2543,23 de Agosto de 2025,2,9,17,36,39,11,17,https://www.baloto.com/resultados-baloto/2543
REVANCHA,2543,23 de Agosto de 2025,7,19,29,37,39,11,17,https://www.baloto.com/resultados-revancha/2543
BALOTO,2542,20 de Agosto de 2025,25,28,32,33,41,16,18,https://www.baloto.com/resultados-baloto/2542
REVANCHA,2542,20 de Agosto de 2025,13,20,26,28,37,9,18,https://www.baloto.com/resultados-revancha/2542
BALOTO,2541,18 de Agosto de 2025,2,3,14,15,23,5,18,https://www.baloto.com/resultados-baloto/2541
REVANCHA,2541,18 de Agosto de 2025,1,12,14,28,33,1,18,https://www.baloto.com/resultados-revancha/2541
BALOTO,2540,16 de Agosto de 2025,12,13,33,37,38,15,18,https://www.baloto.com/resultados-baloto/2540
REVANCHA,2540,16 de Agosto de 2025,2,4,8,12,32,8,18,https://www.baloto.com/resultados-revancha/2540
BALOTO,2539,13 de Agosto de 2025,7,12,22,33,38,5,18,https://www.baloto.com/resultados-baloto/2539
REVANCHA,2539,13 de Agosto de 2025,1,3,9,24,34,9,18,https://www.baloto.com/resultados-revancha/2539
BALOTO,2538,11 de Agosto de 2025,2,19,20,32,33,3,18,https://www.baloto.com/resultados-baloto/2538
REVANCHA,2538,11 de Agosto de 2025,13,16,36,37,38,12,18,https://www.baloto.com/resultados-revancha/2538
BALOTO,2537,9 de Agosto de 2025,2,8,27,29,37,16,19,https://www.baloto.com/resultados-baloto/2537
REVANCHA,2537,9 de Agosto de 2025,2,9,12,22,42,3,19,https://www.baloto.com/resultados-revancha/2537
BALOTO,2536,6 de Agosto de 2025,8,18,21,34,40,13,19,https://www.baloto.com/resultados-baloto/2536
REVANCHA,2536,6 de Agosto de 2025,12,20,29,30,38,4,19,https://www.baloto.com/resultados-revancha/2536
BALOTO,2535,4 de Agosto de 2025,4,7,31,33,36,7,19,https://www.baloto.com/resultados-baloto/2535
REVANCHA,2535,4 de Agosto de 2025,25,30,33,34,35,12,19,https://www.baloto.com/resultados-revancha/2535
BALOTO,2534,2 de Agosto de 2025,13,22,32,35,42,11,19,https://www.baloto.com/resultados-baloto/2534
REVANCHA,2534,2 de Agosto de 2025,1,3,4,34,37,15,19,https://www.baloto.com/resultados-revancha/2534
BALOTO,2533,30 de Julio de 2025,29,30,34,36,41,15,19,https://www.baloto.com/resultados-baloto/2533
REVANCHA,2533,30 de Julio de 2025,19,22,24,31,39,3,19,https://www.baloto.com/resultados-revancha/2533
BALOTO,2532,28 de Julio de 2025,10,30,33,34,41,7,20,https://www.baloto.com/resultados-baloto/2532
